TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
12611,20416.0454,0.470939362,1.503769144,0.49568768,40.14629651,53.88552723,0.379419762,0,51.00263832
12612,20438.01297,0.470825753,1.510552346,0.495387082,40.28125273,53.95175203,0.385660811,0,51.06745739
12613,20590.57981,0.470546529,1.531902981,0.496135432,40.16184415,54.01501908,0.477163557,0,50.91355333
12614,20717.9804,0.470301442,1.540319254,0.496861711,39.8526086,54.07550587,0.333781675,0,50.79176164
12615,20812.42818,0.470262507,1.54255743,0.497043885,40.04232285,54.14022515,0.19126087,0,50.7166498
12616,20925.74559,0.470298834,1.551046144,0.494556864,39.86559267,54.21111634,0.167441146,0,50.60409422
12617,21121.94394,0.469783165,1.572667671,0.494206045,39.68452577,54.28131721,0.744523094,0,50.34637245
12618,21184.21023,0.469170914,1.569976218,0.496531114,39.62484314,54.34998429,0.853569917,0,50.29895693
12619,21203.59186,0.469263464,1.565331606,0.49758428,39.58491668,54.42011278,0.361133781,0,50.31891643
12620,21224.79017,0.469599857,1.56705639,0.49833566,39.0544858,54.49505874,0.142723611,0,50.33461257
12621,21242.20651,0.469992008,1.568617274,0.497577694,38.85299018,54.56540326,0,0.013426069,50.35524522
12622,21301.52033,0.470146651,1.576036962,0.495354332,39.03260029,54.63349571,0.166649125,0,50.30504579
12623,21309.96773,0.469772159,1.57355671,0.495003096,39.38605505,54.70229016,0.68133985,0,50.33569202
12624,21263.53427,0.469448694,1.563998657,0.496106849,39.40070043,54.77099526,0.786094852,0,50.45711937
12625,21196.29423,0.469481428,1.555372435,0.497056627,39.56561006,54.84141474,0.564681511,0,50.6161406
12626,21175.38161,0.469725255,1.555695259,0.498968268,39.43723697,54.90975513,0.371918902,0,50.70237637
12627,21130.56045,0.470253681,1.550314946,0.497352629,39.36297458,54.9749863,0,0.042967539,50.82973436
12628,21017.94525,0.470382061,1.534513014,0.495346091,39.47451313,55.03869263,0.327033522,0,51.07277017
12629,21008.85237,0.470181901,1.537449747,0.496283658,39.35272447,55.10376551,0.79406831,0,51.15075224
12630,21109.47267,0.470108358,1.553574448,0.499145878,39.48795515,55.16719346,0.608243531,0,51.0467535
12631,21293.39952,0.470480076,1.574316215,0.499567657,39.51969992,55.2262134,0,0.016747288,50.79769298
12632,21531.79777,0.470753675,1.597629379,0.498573399,39.59093684,55.28851004,0,0.107160682,50.44622072
12633,21788.09988,0.470683859,1.62079197,0.497950254,39.79140627,55.35586777,0.119422353,0,50.04969894
12634,21886.64077,0.470441747,1.618813607,0.496148303,40.00727206,55.42719005,0.267787804,0,49.89928851
12635,21942.97764,0.47002702,1.618732816,0.495839409,40.02099676,55.50193438,0.685401474,0,49.81279895
12636,21957.36451,0.469667468,1.619118144,0.497375769,40.02835664,55.57910622,0.776241272,0,49.79250863
12637,21890.81602,0.46969942,1.609029059,0.496532329,39.91771391,55.65093125,0.452675325,0,49.90597399
12638,21852.06838,0.469643115,1.607352958,0.496606543,39.72463598,55.72130046,0.657304322,0,49.97743785
12639,21875.49638,0.46958935,1.615475073,0.498742691,40.03448996,55.7909602,0.659641274,0,49.94792128
12640,21830.3909,0.46989422,1.608009029,0.499137618,40.09824502,55.85696003,0.196604035,0,50.03094502
12641,21817.97831,0.470297118,1.607011997,0.501138223,40.10676869,55.92350213,0.114463239,0,50.06245456
12642,21776.19601,0.4710017,1.602017638,0.500807633,40.17566989,55.99280659,0,0.3319303,50.14362969
12643,21844.67513,0.471525134,1.614476429,0.500361919,40.14697883,56.05881203,0,0.263642421,50.0440039
12644,21887.66598,0.471737918,1.618434136,0.503143636,40.24352706,56.12517196,0,0.167575921,49.98240791
12645,22034.20654,0.472473195,1.637249962,0.50273415,40.07631846,56.19017439,0,0.796843684,49.7457538
12646,22236.98036,0.472864307,1.662064042,0.501898304,40.35467221,56.25941241,0,0.721794391,49.40614894
12647,22387.27935,0.472904214,1.673255144,0.503124863,40.10654195,56.32815247,0,0.548349046,49.14088468
